pick,player,position,team,season,team_right,position_right,depth_chart_position,jersey_number,status,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,ngs_position,week,game_type,status_description_abbr,football_name,draft_number
13,Nico Collins,WR,Justin Boone,2021,HOU,WR,WR,12,ACT,Nico,Collins,1999-03-19,76.0,222,Michigan,00-0036554,4258173,bd56a50c-5fae-4ee2-8363-f74ae07b6887,,15200,61441,CollNi00,,7569,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qls2a7h4ujxn7m4fj05y",COL654119,53518,3200434f-4c65-4119-2a51-095ba724d414,2021,2021,HOU,WR,18,REG,A01,Nico,89
12,Malik Nabers,WR,Justin Boone,2024,NYG,WR,WR,1,ACT,Malik,Nabers,2003-07-28,72.0,195,Louisiana State,00-0039337,4595348,55ef2022-50c2-465b-839e-c0f4c9e7c55c,40899,17704,,NabeMa00,,11632,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc",NAB400459,57127,32004e41-4240-0459-a77d-033b6932cbbb,2024,2024,NYG,WR,18,REG,A01,Malik,6
114,Mark Andrews,TE,Chris Allen,2018,BAL,TE,TE,89,ACT,Mark,Andrews,1995-09-06,76.0,255,Oklahoma,00-0034753,3116365,0618f387-9b72-4270-8b8f-dec4cccc9e4a,31056,12559,47436,AndrMa00,19803,5012,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rx3nyhawhvj9lddniknj",AND701433,46155,3200414e-4470-1433-75dd-307507e53173,2018,2018,BAL,SLOT_WR,18,WC,A01,Mark,86
100,Patrick Mahomes,QB,Rich Hribar,2017,KC,QB,QB,15,ACT,Patrick,Mahomes,1995-09-17,74.0,230,Texas Tech,00-0033873,3139477,11cad59d-90dd-449c-a839-dddaba4fe16c,30123,11839,11765,MahoPa00,18890,4046,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ugt3pz3jk8v1cbuvj3om",MAH401939,44822,32004d41-4840-1939-e4c1-bb89191b4e71,2017,2017,KC,,18,WC,A01,Patrick,10
70,Rome Odunze,WR,Ray Garvin,2024,CHI,WR,WR,15,ACT,Rome,Odunze,2002-04-03,75.0,215,Washington,00-0039919,4431299,f64694e0-0381-11ef-973d-5176a0ecbee4,40901,17020,,OdunRo00,,11620,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/labs8tstecnehvzfmrs5",ODU426541,57130,32004f44-5542-6541-431c-1a51e8792659,2024,2024,CHI,WR,18,REG,A01,Rome,9
26,Josh Allen,QB,Ian Hartitz,2014,TB,C,,61,ACT,Joshua,Allen,1991-12-30,75.0,315,Louisiana-Monroe,00-0030833,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vs1gvoadc6we63prkatk",ALL529825,41671,3200414c-4c52-9825-55b3-86858b89ee0c,2014,2014,,,17,REG,A01,Josh,
63,Zay Flowers,WR,Ben Gretch,2023,BAL,WR,WR,4,ACT,Xavien,Flowers,2000-09-11,69.0,172,Boston College,00-0039064,,2b6d74b7-10fb-4f17-99c8-9bb557fb475b,40039,16919,,FlowZa00,,9997,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zvstl5cycvmbbqczemau",FLO577002,55886,3200464c-4f57-7002-1160-832e9618f0fd,2023,2023,BAL,WR,21,CON,A01,Zay,22
6,Jahmyr Gibbs,RB,Nathan Jahnke,2023,DET,RB,RB,26,ACT,Jahmyr,Gibbs,2002-03-20,69.0,200,Alabama,00-0039139,,fef9457e-6497-47de-9bf2-cc3b95929375,40059,16808,,GibbJa01,,9221,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zv22khikt05uc5fzzby9",GIB198578,55876,32004749-4219-8578-ca06-2b870fe6f731,2023,2023,DET,RB,21,CON,A01,Jahmyr,12
80,Ricky Pearsall,WR,Dave Kluge,2024,SF,WR,WR,14,ACT,Ricky,Pearsall,2000-09-09,73.0,190,Florida,00-0039916,4428209,aca4c1b8-915f-4295-92e4-05b51feee6b1,40892,17761,,PearRi00,,11638,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/akwepvt6qxwbgankljmv",PEA307677,57152,32005045-4130-7677-7b9e-0f0ef8659c89,2024,2024,SF,WR,18,REG,A01,Ricky,31
83,Jayden Higgins,WR,Derek Brown,2025,HOU,WR,WR,81,ACT,Jayden,Higgins,2002-12-15,76.0,215,Iowa State; Eastern Kentucky,00-0040130,4877706,f55444a9-ccad-4343-bb03-caca6ea3de99,,18551,150240,HiggJa00,26094,12484,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wrdw1u4onrmfuuluuipk",HIG228409,58239,32004849-4722-8409-9777-0ef748df904a,2025,2025,HOU,WR,20,DIV,A01,Jayden,34
68,David Montgomery,RB,Jennifer Eakins,2019,CHI,RB,RB,32,ACT,David,Montgomery,1997-06-07,70.0,222,Iowa State,00-0035685,4035538,1c9e1cd5-8cb1-4a15-a2c8-3a0c0fd5423c,31905,13556,45719,MontDa01,20882,5892,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m4qxpoboxzjdluklqrtf",MON487374,47856,32004d4f-4e48-7374-a044-7fb197b6b501,2019,2019,CHI,RB,17,REG,A01,David,73
123,Dallas Goedert,TE,Ray Garvin,2018,PHI,TE,TE,88,ACT,Dallas,Goedert,1995-01-03,77.0,260,South Dakota State,00-0034351,3121023,e8029983-87cf-49a2-bc04-04c8233a0630,31019,12860,47272,GoedDa00,19863,5022,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bekz0emretqdor3engkr",GOE595520,46118,3200474f-4559-5520-b7af-5e002aedafbb,2018,2018,PHI,TE,19,DIV,A01,Dallas,49
59,Kaleb Johnson,RB,Derek Brown,2015,BLT,G,,62,ACT,Kaleb,Johnson,1993-02-22,76.0,316,Rutgers,00-0031766,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vzaokxdtcuwng2okjrfj",JOH398785,42797,32004a4f-4839-8785-7b9f-ff40c5039852,2015,2015,,,13,REG,I01,Kaleb,
141,Dalton Kincaid,TE,Rich Hribar,2023,BUF,TE,TE,86,ACT,Dalton,Kincaid,1999-10-18,76.0,240,Utah,00-0038933,,b961fa15-0676-4948-b95f-56d06319d40e,40048,16697,,KincDa00,,10236,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gc2do3ceqflw2axa6xii",KIN069130,55889,32004b49-4e06-9130-e563-7edd228031c8,2023,2023,BUF,SLOT_WR,20,DIV,A01,Dalton,25
115,Cooper Kupp,WR,Nathan Jahnke,2017,LA,WR,WR,18,ACT,Cooper,Kupp,1993-06-15,73.0,205,Eastern Washington,00-0033908,2977187,2806e915-c46f-492f-8a29-71d3a85e5620,30182,11863,11824,KuppCo00,18882,4039,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfmofyneoponii4twxdq",KUP534597,44881,32004b55-5053-4597-b958-87408c31956f,2017,2017,LA,SLOT_WR,18,WC,A01,Cooper,69
76,Stefon Diggs,WR,Rich Hribar,2015,MIN,WR,,14,ACT,Stefon,Diggs,1993-11-29,72.0,191,Maryland,00-0031588,2976212,a1c40664-b265-4083-aad2-54b4c734f2c5,28534,10133,9579,DiggSt00,16906,2449,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zf6nbnzcfzu4y7yq2nzk",DIG218895,42489,32004449-4721-8895-fc23-d2bf4c921bd4,2015,2015,MIN,,18,WC,A01,Stefon,146
127,Christian Kirk,WR,Chris Allen,2018,ARI,WR,WR,13,RES,Christian,Kirk,1996-11-18,71.0,200,Texas A&amp;M,00-0034775,3895856,ebcd87ce-218c-4144-810b-921c2f59d6e8,31017,12508,47546,KirkCh01,19815,4950,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xhicurlusjfytzmkrfo9",KIR257918,46116,32004b49-5225-7918-e402-81feed3bdafb,2018,2018,ARI,,17,REG,,Christian,
4,Bijan Robinson,RB,Rich Hribar,2023,ATL,RB,RB,7,ACT,Bijan,Robinson,2002-01-30,71.0,214,Texas,00-0038542,,f78d68c2-f9da-48e7-b954-26b69efd828d,40055,16739,,RobiBi01,,9509,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gatvdlb0kch6kyhhpu4c",ROB368260,55872,3200524f-4236-8260-6d5f-ae47fe2e0128,2023,2023,ATL,RB,18,REG,A01,Bijan,8
113,Travis Kelce,TE,Dave Kluge,2013,KC,TE,,87,RES,Travis,Kelce,1989-10-05,77.0,260,Cincinnati,00-0030506,15847,c3859e06-5f23-4302-a71b-04820a899d5f,26686,8783,7844,KelcTr00,15048,1466,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryzr3vbragwe50vtj9af",KEL012458,40011,32004b45-4c01-2458-b7b6-3a14cdb414dd,2013,2013,KC,,5,REG,I01,Travis,63
15,Brock Bowers,TE,Ben Gretch,2024,LV,TE,TE,89,ACT,Brock,Bowers,2002-12-13,76.0,230,Georgia,00-0039338,4432665,ad9fc7e3-0a6d-4e41-84c2-cf43b71aee13,40878,17693,,BoweBr01,,11604,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjy86xh8munoiur4hejf",BOW196560,57134,3200424f-5719-6560-aaaa-d9f4cc244721,2024,2024,LV,SLOT_WR,18,REG,A01,Brock,13
43,Jalen Hurts,QB,Nathan Jahnke,2020,PHI,QB,QB,2,ACT,Jalen,Hurts,1998-08-07,73.0,218,Oklahoma,00-0036389,4040715,64bd0f02-6a5d-407e-98f1-fd02048ea21d,32723,14416,40291,HurtJa00,21831,6904,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gpz9zs474snz3jntrpbd",HUR767022,52461,32004855-5276-7022-85cf-a74490936f42,2020,2020,PHI,QB,17,REG,A01,Jalen,53
30,Trey McBride,TE,Nathan Jahnke,2022,ARI,TE,TE,85,ACT,Trey,McBride,1999-11-22,75.0,245,Colorado State,00-0037744,4361307,734d54cc-c869-4e2f-a60f-c59c493f5110,,15902,,,,8130,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qawwcnmfggwgsemqwwki",MCB743360,54520,32004d43-4274-3360-cc50-43990383247d,2022,2022,ARI,TE,18,REG,A01,Trey,55
26,Josh Allen,QB,Ian Hartitz,2018,BUF,QB,QB,17,ACT,Joshua,Allen,1996-05-21,77.0,240,Wyoming,00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,AlleJo02,19801,4984,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uyhjaf2okyygjyfzk8hc",ALL529264,46076,3200414c-4c52-9264-bedc-c4ddaf201fe7,2018,2018,BUF,QB,17,REG,A01,Josh,7
86,Cam Skattebo,RB,Derek Brown,2025,NYG,RB,RB,44,RES,Cameron,Skattebo,2002-02-05,71.0,215,Arizona State; Sacramento State,00-0040715,4696981,e1f0c72d-f4d0-4c24-93a4-8a12b9a2efd2,,18514,147787,SkatCa00,25887,12481,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vnftthkbvw7ucsqtqjpq",SKA578439,58310,3200534b-4157-8439-e202-fa5ff0631271,2025,2025,NYG,,18,REG,R01,Cam,105
54,Jameson Williams,WR,Nathan Jahnke,2022,DET,WR,WR,9,ACT,Jameson,Williams,2001-03-26,73.0,189,Alabama,00-0037240,4426388,590adb00-5598-47ad-b6d4-16a6c5519847,,15849,,,,8148,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfieht3mru8nd2itoi4a",WIL344909,54477,32005749-4c34-4909-bc5e-bde59d1a8826,2022,2022,DET,WR,18,REG,A01,Jameson,12
133,Kyle Williams,WR,Justin Boone,2025,NE,WR,WR,18,ACT,Kyle,Williams,2002-11-13,71.0,190,Washington State,00-0040131,4613202,3aa9330e-5201-4e99-ba55-0102f76bfe05,,19126,128374,WillKy03,25912,12547,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bu31c2ino065kazsn541",WIL415226,58274,32005749-4c41-5226-76ac-b1583a06b9ec,2025,2025,NE,WR,22,SB,A01,Kyle,69
52,Jaylen Waddle,WR,Rich Hribar,2021,MIA,WR,WR,17,ACT,Jaylen,Waddle,1998-11-25,70.0,182,Alabama,00-0036613,4372016,0ff9a975-669d-4851-a95d-ab28d9fc29c4,33394,15404,84088,WaddJa00,,7526,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hkwyhd9w8pouxwhqn6ly",WAD088683,53435,32005741-4408-8683-c826-c882ad6fd5c2,2021,2021,MIA,WR,18,REG,A01,Jaylen,6
136,Cedric Tillman,WR,Ryan Heath,1992,DEN,WR,WR,0,ACT,Cedric,Tillman,1970-07-22,74.0,204,,00-0016472,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lp8lglecrgbzeovryfvm",TIL379692,,32005449-4c37-9692-f00e-0b098dc0f954,,,,,,,,,
129,Colston Loveland,TE,Ryan Heath,2025,CHI,TE,TE,84,ACT,Colston,Loveland,2004-04-09,78.0,245,Michigan,00-0040126,4723086,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,,18460,158540,LoveCo00,25869,12517,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tyjb6vfug7gaunvcune3",LOV456221,58212,32004c4f-5645-6221-1f26-a303114b69f8,2025,2025,CHI,TE,20,DIV,A01,Colston,10
111,T.J. Hockenson,TE,Ben Gretch,2019,DET,TE,TE,88,RES,T.J.,Hockenson,1997-07-03,77.0,247,Iowa,00-0035229,4036133,bd1120b6-38b3-4225-a4b0-20660a149d0d,31840,13610,40912,HockTJ00,20805,5844,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zodb4z1lbkw6hkxpvpgq",HOC422041,47791,3200484f-4342-2041-c442-6c874885b155,2019,2019,DET,,17,REG,,T.J.,
87,Brandon Aiyuk,WR,Ben Gretch,2020,SF,WR,WR,11,INA,Brandon,Aiyuk,1998-03-17,72.0,206,Arizona State,00-0036261,4360438,c90471cc-fa60-4416-9388-5aebb5d877eb,32695,14386,84109,AiyuBr00,21747,6803,0,,AIY189231,52433,32004149-5918-9231-4476-63b611051b08,2020,2020,SF,,17,REG,A01,Brandon,25
26,Josh Allen,QB,Ian Hartitz,2019,JAX,DL,DE,41,ACT,Joshua,Allen,1997-07-13,77.0,262,Kentucky,00-0035642,3915239,dd7be5f3-c615-4621-92e1-2434519cb1f9,31839,13642,50235,AlleJo03,20737,5840,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/toi3pm7v7crijy6fthnj",ALL528759,47790,3200414c-4c52-8759-5d19-904fa0fc8823,2019,2019,JAX,EDGE,17,REG,A01,Josh,7
11,Brian Thomas Jr.,WR,Derek Brown,2024,JAX,WR,WR,7,ACT,Brian,Thomas,2002-10-08,74.0,205,Louisiana State,00-0039893,4432773,271a233e-68b3-4261-a3aa-7667eaf9d3cc,40883,17716,,ThomBr06,,11631,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gsz15iz0ppibhslzzgch",THO419793,57144,32005448-4f41-9793-7e94-7811f8a76eb2,2024,2024,JAX,WR,18,REG,A01,Brian,23
92,Khalil Shakir,WR,Jennifer Eakins,2022,BUF,WR,WR,10,ACT,Khalil,Shakir,2000-02-03,72.0,190,Boise State,00-0037261,4373678,0ce9ddce-bdf6-469c-8a32-9cf0ed3714a4,,15892,,,,8134,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qoltpowkukxjs5xtpn8a",SHA107427,54613,32005348-4110-7427-f34a-bb0aa1d8e556,2022,2022,BUF,SLOT_WR,20,DIV,A01,Khalil,148
93,Darnell Mooney,WR,Rich Hribar,2020,CHI,WR,WR,11,INA,Darnell,Mooney,1997-10-29,71.0,172,Tulane,00-0036309,4040655,bafe8df1-66b5-4200-8fb3-ff188c25a4e2,32843,14510,48236,MoonDa00,21961,7090,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sxldzvwuh31gcmbiuavt",MOO076900,52581,32004d4f-4f07-6900-2883-f3ddae0181d4,2020,2020,CHI,,18,WC,A01,Darnell,173
81,Josh Downs,WR,Ryan Heath,2023,IND,WR,WR,1,ACT,Joshua,Downs,2001-08-12,69.0,175,North Carolina,00-0038997,,dd227f4a-0785-482d-a28b-f231c7f3b73f,40126,16689,,DownJo00,,9500,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wdrwbumtvwv8s9te8wof",DOW686145,55944,3200444f-5768-6145-dd60-3fbae406310a,2023,2023,IND,SLOT_WR,18,REG,A01,Josh,79
99,Keon Coleman,WR,Ray Garvin,2024,BUF,WR,WR,0,ACT,Keon,Coleman,2003-05-17,76.0,215,Florida State,00-0039901,4635008,6752915f-efe5-473d-a520-78cadfab6dda,40911,17732,,ColeKe02,,11637,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipwpdgb0cm3xy3d8zu1l",COL295571,57154,3200434f-4c29-5571-54fa-77236b775ae1,2024,2024,BUF,WR,21,CON,A01,Keon,33
62,Calvin Ridley,WR,Derek Brown,2018,ATL,WR,WR,18,ACT,Calvin,Ridley,1994-12-20,73.0,190,Alabama,00-0034837,3925357,926e2674-52d6-4cec-9991-46ee85cc8cfd,30996,12616,48262,RidlCa00,19802,4981,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r8hye4mvynz7fxbfooxw",RID652384,46095,32005249-4465-2384-7253-3a4b46622aa9,2018,2018,ATL,WR,17,REG,A01,Calvin,26
104,Kyler Murray,QB,Dave Kluge,2019,ARI,QB,QB,1,ACT,Kyler,Murray,1997-08-07,70.0,207,Oklahoma,00-0035228,3917315,dd5a6b6e-ffae-45a5-b8e6-718a9251f374,31833,13613,38334,MurrKy00,20889,5849,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xg9gslvksigyhrkos7xu",MUR670413,47784,32004d55-5267-0413-8d36-a5c3fd781aa0,2019,2019,ARI,QB,17,REG,A01,Kyler,1
117,Ray Davis,RB,Rich Hribar,2024,BUF,RB,RB,22,ACT,Re'Mahn,Davis,1999-11-20,68.0,216,Kentucky,00-0039875,4429501,a856dd59-ed95-471a-bfb9-fbd0566bd1a9,40980,17792,,DaviRa04,,11575,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xm8csnleyxsop4pldyby",DAV632804,57249,32004441-5663-2804-a8ce-2174ee79562e,2024,2024,BUF,RB,21,CON,A01,Ray,128
101,Zach Charbonnet,RB,Jennifer Eakins,2023,SEA,RB,RB,26,ACT,Zach,Charbonnet,2001-01-08,73.0,220,UCLA,00-0039165,,7d7f1628-85a7-4633-9ffe-d82fc2761b00,40075,16897,,CharZa00,,9753,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yuddw2o5skwkgvut6wrv",CHA548773,55917,32004348-4154-8773-f098-b6f992d916a2,2023,2023,SEA,RB,18,REG,A01,Zach,52
108,Trey Benson,RB,Justin Boone,2024,ARI,RB,RB,33,RES,Trey,Benson,2002-07-23,73.0,215,Florida State,00-0039921,4429275,0c1253f2-1822-445d-8590-fea6fd32703f,40958,17767,,BensTr01,,11589,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iu0gbspz3kjdqlazvtkn",BEN649191,57187,32004245-4e64-9191-567b-28b29177bf93,2024,2024,ARI,,18,REG,R01,Trey,66
14,Drake London,WR,Derek Brown,2022,ATL,WR,WR,5,ACT,Drake,London,2001-07-24,76.0,210,Southern California,00-0037238,4426502,5053f9ae-15d9-4730-833d-484886b6f890,,15868,,,,8112,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rrwzcsvsfqq9xptp8o48",LON013463,54473,32004c4f-4e01-3463-a3e9-f95e800c8bba,2022,2022,ATL,WR,18,REG,A01,Drake,8
143,Jaylen Wright,RB,Ian Hartitz,2024,MIA,RB,RB,25,ACT,Jaylen,Wright,2003-04-01,71.0,210,Tennessee,00-0039874,4682745,ba9e1390-028b-47c9-8710-84cee3fa25de,41010,17800,,WrigJa04,,11643,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ib9s3nvt4i1i5wh11t4f",WRI398099,57241,32005752-4939-8099-f6ee-7772cc125a42,2024,2024,MIA,RB,18,REG,A01,Jaylen,120
118,J.J. McCarthy,QB,Ray Garvin,2024,MIN,QB,QB,9,RES,Jonathan,McCarthy,2003-01-20,75.0,202,Michigan,00-0039923,4433970,587cc3c3-aeda-4ac7-8803-a7e4db195534,40905,17689,,McCaJJ00,,11565,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/t4ncswnffrpzp0jtldmx",MCC189531,57131,32004d43-4318-9531-b3f5-120a14383239,2024,2024,MIN,,19,WC,R01,J.J.,10
23,Josh Jacobs,RB,Ian Hartitz,2019,OAK,RB,RB,28,INA,Joshua,Jacobs,1998-02-11,70.0,220,Alabama,00-0035700,4047365,61694ab9-b099-408e-b48d-6a643dd069ec,31856,13582,45953,JacoJo01,20824,5850,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/awi1bqhbh74f2lpvzayr",JAC734615,47823,32004a41-4373-4615-60ca-982d07046841,2019,2019,OAK,,17,REG,A01,Josh,24
19,Bucky Irving,RB,Nathan Jahnke,2024,TB,RB,RB,7,ACT,Mar'Keise,Irving,2002-08-19,70.0,195,Oregon,00-0039361,4596448,c5249c6f-bd1b-4352-8228-de2bd499ca0d,40993,17784,,IrviBu00,,11584,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wjaqkrtdhwf16wldi83h",IRV731762,57246,32004952-5673-1762-cc21-a0207d2553dd,2024,2024,TB,RB,19,WC,A01,Bucky,125
136,Cedric Tillman,WR,Ryan Heath,2023,CLE,WR,WR,19,INA,Cedric,Tillman,2000-04-19,75.0,215,Tennessee,00-0038979,,148330d9-5182-4b58-b695-8067aaba4731,40093,16706,,TillCe01,,10444,0,,TIL377067,55939,32005449-4c37-7067-218b-007e17161edd,2023,2023,CLE,,19,WC,A01,Cedric,74
58,Travis Hunter,WR,Ben Gretch,2025,JAX,WR,WR,12,RES,Travis,Hunter,2003-05-18,73.0,185,Colorado; Jackson State University,00-0040718,4685415,4a975d4c-d7cd-45ef-b258-db45187140eb,,18578,160766,HuntTr00,26056,12530,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/apfzii6u8pwj9ntvyfkk",HUN816230,58204,32004855-4e81-6230-a487-ca19d012c037,2025,2025,JAX,,19,WC,R01,Travis,2
